study,loc,sta,date,source,species,sampType,lat,lon,coords_origOrEst,depth_m,year,samp,delta14C,delta14C_sd,delta14C_se,F14C,F14C_sd,14Cage,14Cage_sd,pMC,pMC_sd,dataSource,Comments,ind,F14C_calc,F14C_calc_sd,C14age_calc,C14age_sd_calc,year_bp,delta14C_calc,decade,w_i,w_i_calc
Andrews et al. 2020,Florida,"Treasure Island, FL (GS-05B)",1982.54,otolith,Lutjanus griseus,core,27.76,-82.77,est,,1963,OS-138610,,,,1.057,0.0033,,,,,"Andrews et al. 2020, Table 2",Mid-rise,782,1.057,0.0033,,,60,64.6993712029678,1960s,91827.3645546373,91827.3645546373
Andrews et al. 2020,Florida,"Treasure Island, FL (GS-06A)",1982.54,otolith,Lutjanus griseus,core,27.76,-82.77,est,,1954,OS-130900,,,,0.8475,0.0019,,,,,"Andrews et al. 2020, Table 2",Pre-bomb depleted,783,0.8475,0.0019,,,69,-145.396792091937,1950s,277008.310249308,277008.310249308
Andrews et al. 2020,Florida,"Treasure Island, FL (GS-06B)",1982.54,otolith,Lutjanus griseus,core,27.76,-82.77,est,,1955,OS-138611,,,,0.7966,0.0024,,,,,"Andrews et al. 2020, Table 2",Pre-bomb depleted,784,0.7966,0.0024,,,68,-196.820564396196,1950s,173611.111111111,173611.111111111
Andrews et al. 2020,Florida,"Treasure Island, FL (GS-07A)",1983.59,otolith,Lutjanus griseus,core,27.76,-82.77,est,,1967,OS-130901,,,,1.1458,0.0025,,,,,"Andrews et al. 2020, Table 2",Peak,785,1.1458,0.0025,,,56,153.587905548223,1960s,160000,160000
Andrews et al. 2020,Florida,"Treasure Island, FL (GS-08A)",1983.28,otolith,Lutjanus griseus,core,27.76,-82.77,est,,1953,OS-130902,,,,0.8998,0.002,,,,,"Andrews et al. 2020, Table 2",Pre-bomb depleted,786,0.8998,0.002,,,70,-92.5486853647024,1950s,250000,250000
Andrews et al. 2020,Florida,"Treasure Island, FL (GS-08B)",1983.28,otolith,Lutjanus griseus,core,27.76,-82.77,est,,1954,OS-138612,,,,0.9402,0.0029,,,,,"Andrews et al. 2020, Table 2",Pre-bomb,787,0.9402,0.0029,,,69,-51.9198394393388,1950s,118906.064209275,118906.064209275
Andrews et al. 2020,Florida,"Treasure Island, FL (GS-09A)",1983.32,otolith,Lutjanus griseus,core,27.76,-82.77,est,,1962,OS-138903,,,,0.7797,0.0016,,,,,"Andrews et al. 2020, Table 2",Mid-rise depleted,788,0.7797,0.0016,,,61,-214.525522563247,1960s,390625,390625
Andrews et al. 2020,Florida,"Treasure Island, FL (GS-09B)",1983.32,otolith,Lutjanus griseus,core,27.76,-82.77,est,,1963,OS-138613,,,,0.7897,0.0031,,,,,"Andrews et al. 2020, Table 2",Mid-rise depleted,789,0.7897,0.0031,,,60,-204.547688326411,1960s,104058.272632674,104058.272632674
Andrews et al. 2020,Florida,"Treasure Island, FL (GS-10A)",1983.32,otolith,Lutjanus griseus,core,27.76,-82.77,est,,1964,OS-130904,,,,1.0535,0.0022,,,,,"Andrews et al. 2020, Table 2",Mid-rise,790,1.0535,0.0022,,,59,61.0455217278383,1960s,206611.570247934,206611.570247934
Andrews et al. 2020,Florida,"Treasure Island, FL (GS-11A)",1983.32,otolith,Lutjanus griseus,core,27.76,-82.77,est,,1962,OS-138614,,,,1.0227,0.0025,,,,,"Andrews et al. 2020, Table 2",Mid-rise,791,1.0227,0.0025,,,61,30.2741414320471,1960s,160000,160000
Andrews et al. 2020,Florida,"Treasure Island, FL (GS-11B)",1983.32,otolith,Lutjanus griseus,core,27.76,-82.77,est,,1963,OS-138615,,,,1.0701,0.0047,,,,,"Andrews et al. 2020, Table 2",Mid-rise,792,1.0701,0.0047,,,60,77.8947938735062,1960s,45269.3526482571,45269.3526482571
Andrews et al. 2020,Florida,"Madiera Beach, FL (GS-15A)",2004.21,otolith,Lutjanus griseus,core,27.76,-82.77,est,,1986,OS-138616,,,,0.9192,0.0022,,,,,"Andrews et al. 2020, Table 2",Decline depleted,793,0.9192,0.0022,,,37,-76.6767844941169,1980s,206611.570247934,206611.570247934
Andrews et al. 2020,Florida,"Madiera Beach, FL (GS-15B)",2004.21,otolith,Lutjanus griseus,core,27.76,-82.77,est,,1988,OS-138617,,,,1.0883,0.0032,,,,,"Andrews et al. 2020, Table 2",Decline depleted,794,1.0883,0.0032,,,35,92.9173032285844,1980s,97656.25,97656.25
