year,f14c_mn,f14c_sd
1777,0.914695605511285,0.0253194701062688
1777.5,0.91381178497615,0.0252390182484667
1778,0.916087127485169,0.0260192256855538
1778.5,0.916007751013772,0.0246327927182153
1779,0.914998181626917,0.0253067838090808
1779.5,0.917077120106808,0.0251115959805675
1780,0.915269762323738,0.0250666014764415
1780.5,0.917136972816841,0.0255834065058453
1781,0.917169407430802,0.0252426915564791
1781.5,0.917342711674995,0.0250204103464737
1782,0.917714359996802,0.0249371781397762
1782.5,0.918007295944362,0.0252807564923766
1783,0.917825312036106,0.0250537277803185
1783.5,0.917150233128149,0.0254788001720081
1784,0.916457539299908,0.0253717593573343
1784.5,0.91642699572842,0.0252080042656194
1785,0.917558896567086,0.0250157806875016
1785.5,0.91571250085604,0.0266128962891675
1786,0.91569251251731,0.0254198207280536
1786.5,0.915895352339547,0.0255005120150078
1787,0.915174794202659,0.0249530825605944
1787.5,0.913035579101488,0.0255772601682912
1788,0.912892882389264,0.0255610417119674
1788.5,0.912252510002159,0.0261171615494849
1789,0.909991361029069,0.0253504665365242
1789.5,0.912167439847541,0.025313495960183
1790,0.910083081436622,0.0251182433014066
1790.5,0.909170137411692,0.0263520826427755
1791,0.909812056359169,0.0246036179400325
1791.5,0.908746444403813,0.0257776362294519
1792,0.908337092683676,0.0257290986071737
1792.5,0.905692199278334,0.0261750810876557
1793,0.905945546322104,0.0256486419436083
1793.5,0.905952591335418,0.0244673548725422
1794,0.904549613671885,0.02477722520546
1794.5,0.904408795200416,0.0253632813399517
1795,0.90299128698673,0.0246731151481193
1795.5,0.901977788183614,0.025396180501381
1796,0.904170405034016,0.0253687072414493
1796.5,0.902660399272375,0.0258102366725397
1797,0.900168865353358,0.0253986935059607
1797.5,0.900486575745557,0.0248316491373615
1798,0.901096046376348,0.0260955361545539
1798.5,0.899888541096971,0.0257062501056462
1799,0.898701440855528,0.0249125141065817
1799.5,0.89903342675702,0.0258679454607643
1800,0.899467603729094,0.0259981913799102
1800.5,0.899488351829398,0.0258025956478267
1801,0.898206363935014,0.026353225869943
1801.5,0.897313045244425,0.0256169997997196
1802,0.898252202099455,0.02529490723228
1802.5,0.899749072778581,0.0253292332361004
1803,0.898010386389455,0.024871378474996
1803.5,0.899321243539611,0.0262520730597829
1804,0.898372137388667,0.0259000427391686
1804.5,0.899963658788123,0.0261824171609122
1805,0.900779154912225,0.0249385888872695
1805.5,0.900891062303026,0.0251044832329261
1806,0.900698385985378,0.0244348191297267
1806.5,0.901565149061776,0.024600078988094
1807,0.901676592952454,0.0237324641057006
1807.5,0.902759102660876,0.0266554944982631
1808,0.903183906414174,0.0254472102091258
1808.5,0.904262030715584,0.0259688850660849
1809,0.903992727167001,0.0253033947850882
1809.5,0.905431444239726,0.0251889697266517
1810,0.905468808760917,0.0249448251036396
1810.5,0.906643024783027,0.0258536006191373
1811,0.907622055499108,0.0256607391390674
1811.5,0.908248698053509,0.0261855971574677
1812,0.908093529515062,0.0261680411796177
1812.5,0.909702353775917,0.0251960691021354
1813,0.909952710762424,0.0250851081397009
1813.5,0.910789013234646,0.024407542409909
1814,0.911118024030974,0.0250250788021451
1814.5,0.911289291305017,0.0249245419184078
1815,0.913234112002459,0.025797918475478
1815.5,0.912813891903245,0.0247222311374061
1816,0.913247504293862,0.0249259355414929
1816.5,0.914484739757023,0.0242659668576943
1817,0.914366032216393,0.0249430808785872
1817.5,0.916113104717829,0.0257971595263186
1818,0.914965264708823,0.0261786527277154
1818.5,0.91666915587802,0.0245039055657776
1819,0.916396350238972,0.0254759578965602
1819.5,0.917262366995016,0.025458649790722
1820,0.916328251996647,0.0261229972945844
1820.5,0.916492185269601,0.0249581727423769
1821,0.917778966016624,0.0256432111565453
1821.5,0.917648835094705,0.0246865490930061
1822,0.917786578489728,0.0256958461167021
1822.5,0.917711530087881,0.0257900137987192
1823,0.917376700837226,0.0248039148911368
1823.5,0.917001801164041,0.0261948382427503
1824,0.917069598610567,0.0258536199186858
1824.5,0.918142348864827,0.0252994307913965
1825,0.91685886400013,0.0255460011028723
1825.5,0.918275004089209,0.0250012498351421
1826,0.916423758739513,0.0252112454633937
1826.5,0.917809379843336,0.026838600311992
1827,0.91709440723841,0.0253075257155786
1827.5,0.917048389880081,0.0263426702255888
1828,0.916721415377326,0.024536447065548
1828.5,0.915753366039448,0.0246602666457888
1829,0.915775331777307,0.0249301215018277
1829.5,0.915098140960264,0.0248660009267187
1830,0.915024922823503,0.025799150504523
1830.5,0.915490596295737,0.0256299799251007
1831,0.914038898511714,0.0252041172836593
1831.5,0.914346920275489,0.0246561346580616
1832,0.913517301574471,0.0245127076427179
1832.5,0.913438524190499,0.0253530121329042
1833,0.913016350579876,0.0248325392583548
1833.5,0.914412438014485,0.0247639866118957
1834,0.914973191582038,0.0243221721385456
1834.5,0.913689270178835,0.0239961812748133
1835,0.914392273155677,0.0234295533607581
1835.5,0.915185396232638,0.0234820265391228
1836,0.91652238794253,0.0238511303200876
1836.5,0.914567586472898,0.0244140534356159
1837,0.914444246301222,0.0237167012020584
1837.5,0.915224368351628,0.0238714237055391
1838,0.915056205958576,0.0240316593270478
1838.5,0.917388617387728,0.0233410735203846
1839,0.917192454360514,0.0230227589928189
1839.5,0.917493356070847,0.0243312100885179
1840,0.919213617815212,0.0238544596175782
1840.5,0.919830918513315,0.0236898960334343
1841,0.920840958623626,0.0238781321882923
1841.5,0.919874547126155,0.0249195809787309
1842,0.921513577168237,0.0242097946922622
1842.5,0.921182746802124,0.0235073565593833
1843,0.922338965289012,0.0234958493343909
1843.5,0.92248323150315,0.0221433583309121
1844,0.923733388685374,0.0232528204767909
1844.5,0.925579494500081,0.0237688962863777
1845,0.924489210532923,0.0249777012471085
1845.5,0.926082572732015,0.0242525329242896
1846,0.925220845364053,0.0239748816260434
1846.5,0.928007231158184,0.0234232541703939
1847,0.927557706993615,0.0236966764276297
1847.5,0.927948359990213,0.0237965289858046
1848,0.929804004447318,0.0249563462078442
1848.5,0.92906579055904,0.0245736070308372
1849,0.928526621834455,0.0249215694701177
1849.5,0.931056512475107,0.0234546124233344
1850,0.92987566021694,0.025105044399985
1850.5,0.931095105965753,0.0241649063709647
1851,0.93052258820164,0.0245353131974892
1851.5,0.931786261038108,0.0243418422197265
1852,0.930409153976909,0.0256093783335755
1852.5,0.928385168958769,0.0245333745629832
1853,0.929325242480362,0.0249382578720747
1853.5,0.929650039122778,0.0244780884428791
1854,0.928197228351258,0.0251255965823029
1854.5,0.929168210244705,0.0255638171407783
1855,0.927612543787907,0.0249535129896647
1855.5,0.928108532151285,0.0255943800044064
1856,0.92679268820059,0.025223781274665
1856.5,0.927655467965176,0.0261205423276368
1857,0.92543855541595,0.0262626814852016
1857.5,0.925720763876646,0.0258936038095789
1858,0.924608938919518,0.0246514019151915
1858.5,0.923587564919006,0.0252986889920636
1859,0.921815347917902,0.0254621428631495
1859.5,0.92167015680468,0.0261628709289923
1860,0.919228796716391,0.0254772647554226
1860.5,0.919006063194191,0.0261166531471837
1861,0.918579942577151,0.0255053668715699
1861.5,0.91803261444996,0.0255398725772831
1862,0.917329719674463,0.0248344383188573
1862.5,0.916086809633131,0.0254947611466237
1863,0.914457327565273,0.0254922904185845
1863.5,0.913470492786756,0.0257646481173305
1864,0.912803450537607,0.0257397346560614
1864.5,0.912347152649843,0.0257461742187068
1865,0.91104365905586,0.0246522383418879
1865.5,0.910897792793321,0.0253758101169949
1866,0.909661392084,0.0257669345374814
1866.5,0.908615074858094,0.0248441099322733
1867,0.909275079966536,0.0246489368015465
1867.5,0.907885747566026,0.0247130381156888
1868,0.907212350284985,0.0243191291807309
1868.5,0.907782993339935,0.0239819619800352
1869,0.906706441050193,0.0239221514812921
1869.5,0.90561211752385,0.0252858074812224
1870,0.905510672022967,0.0252364994542882
1870.5,0.905430789654604,0.0239122209153883
1871,0.906329393075914,0.0252112269385978
1871.5,0.906509901760908,0.0250786015335256
1872,0.906162259222085,0.0244383003845148
1872.5,0.905684183394846,0.0238716368973421
1873,0.906184657594892,0.0250029771342417
1873.5,0.907536460350862,0.0241833801588491
1874,0.906549349872312,0.0245396410227846
1874.5,0.907405636519958,0.0238526853875327
1875,0.907718287896713,0.0239732718272965
1875.5,0.909661169406472,0.0232974831658228
1876,0.910280588256558,0.0228077020694005
1876.5,0.911090229274797,0.0244256629952612
1877,0.911501101631062,0.0234622384630251
1877.5,0.913295827767027,0.0227878636776047
1878,0.91321769244756,0.0245011417483108
1878.5,0.914829529493797,0.0244795714605678
1879,0.916473303976797,0.0231611714843675
1879.5,0.91895846765696,0.0235944847807869
1880,0.919883427772394,0.0226276778245844
1880.5,0.92067319855781,0.0233073664587062
1881,0.921129492362676,0.0230345351477705
1881.5,0.922425524341454,0.0232738757276446
1882,0.925256244108559,0.023598394797234
1882.5,0.92468153855687,0.0231587820144896
1883,0.92782808765742,0.0239073705435273
1883.5,0.927687188555509,0.0241514807119617
1884,0.929780596228655,0.0238760124223944
1884.5,0.930238511091347,0.0231248316375568
1885,0.930730652677766,0.0239487817973892
1885.5,0.931918036136283,0.0233522211764788
1886,0.932517535155202,0.0241474918671622
1886.5,0.93233215456741,0.0235461399220867
1887,0.932160481423327,0.0244252482374247
1887.5,0.931981189565215,0.0235722418783462
1888,0.933049798363948,0.0233128118471074
1888.5,0.933799389964074,0.0240255925008024
1889,0.933632953305589,0.0239151128760124
1889.5,0.932847654042284,0.0241986333071885
1890,0.933377138544749,0.0230042948207441
1890.5,0.932384380935052,0.0225424560481296
1891,0.932032185299258,0.0240323919414578
1891.5,0.93040383106233,0.0232900626231939
1892,0.930984518503297,0.0236276081911608
1892.5,0.930683478773273,0.0241207094780275
1893,0.930272490395783,0.0232038292219693
1893.5,0.930170745016975,0.0226960998268489
1894,0.9284639461823,0.0241569444872214
1894.5,0.928278322472583,0.0233879621818043
1895,0.926896338805761,0.022463219059411
1895.5,0.92556026818481,0.0236197819761317
1896,0.923919136209416,0.0237130983362509
1896.5,0.925122975085187,0.023800844496741
1897,0.924054704816821,0.0228720983508322
1897.5,0.923426170951883,0.0234214815855193
1898,0.922289941012914,0.0230690534551757
1898.5,0.923973754548789,0.0238580940879572
1899,0.922156192530532,0.0240667366610269
1899.5,0.922389954019062,0.0229945036175142
1900,0.922252983171533,0.0234398488854827
1900.5,0.922850986034033,0.0230671724508898
1901,0.923129324669145,0.0239962125291867
1901.5,0.923778053282027,0.0234560205702178
1902,0.922406819076472,0.023758361469163
1902.5,0.924496516741879,0.0229753481022938
1903,0.924744469045542,0.0243961114548769
1903.5,0.926637949495233,0.0238330491132461
1904,0.927109239226026,0.023068272800402
1904.5,0.927355372310482,0.0239089153312259
1905,0.926213324836987,0.0233875291535984
1905.5,0.929808162857931,0.0246258540328956
1906,0.92980258009572,0.0233657260567128
1906.5,0.930743336377049,0.0232108731319976
1907,0.933320757731775,0.0238618785919282
1907.5,0.934707037801699,0.0232149245117579
1908,0.935178141016218,0.0240081539769147
1908.5,0.936922428638644,0.02322781968922
1909,0.936898936259283,0.0243005289628554
1909.5,0.938586186533856,0.0230058384859825
1910,0.939863754134249,0.0239865285816156
1910.5,0.941012260793429,0.0232557204814143
1911,0.943408043824411,0.0242778388630249
1911.5,0.94232150555875,0.0224741910194069
1912,0.943404234490257,0.0231934440026373
1912.5,0.944642107901812,0.0238875599252058
1913,0.943379758134598,0.0236072571242739
1913.5,0.946003491961881,0.0230532872838944
1914,0.944802409525091,0.0232379992265935
1914.5,0.945344965583457,0.0234428678059419
1915,0.946145697569827,0.0235079165820165
1915.5,0.946703937314397,0.0235728416435445
1916,0.945149767831107,0.0225044591511465
1916.5,0.945997458209648,0.0229597084523333
1917,0.9459374440559,0.0227946944146435
1917.5,0.944026838803964,0.0222082076009447
1918,0.942907791384733,0.0236809687627796
1918.5,0.943419322645421,0.0225249823887378
1919,0.943751489439777,0.0236780500036371
1919.5,0.942417709816096,0.0237247842092387
1920,0.942049723184592,0.0226655122255779
1920.5,0.940941837392801,0.0222406135808012
1921,0.940251382836937,0.0230738285740736
1921.5,0.937352668055724,0.023043816124819
1922,0.936780770332114,0.0230027197614966
1922.5,0.93507549749058,0.0227639557458212
1923,0.935634098715927,0.0230014747685562
1923.5,0.934379479942782,0.0226182307646189
1924,0.933893171113074,0.0231180569641275
1924.5,0.933332151526817,0.0237036515647795
1925,0.932697881210221,0.0230316657004353
1925.5,0.933263614371009,0.0233772708584052
1926,0.931311704876962,0.0240127221799141
1926.5,0.93114597240442,0.0227226960772027
1927,0.930739794390533,0.0227224281774891
1927.5,0.930199249903947,0.0223602049718827
1928,0.930435698874599,0.0234567548389911
1928.5,0.93139761269482,0.0226522181304521
1929,0.931395739643412,0.0235629060852486
1929.5,0.932947207054792,0.0230218411964254
1930,0.932527139647107,0.0222637786287847
1930.5,0.932661295725526,0.0232364577054818
1931,0.933464254745469,0.0234541328374053
1931.5,0.934385194006881,0.0231295565972583
1932,0.935006134330524,0.0230270541063741
1932.5,0.935751567711487,0.0226418880433834
1933,0.937595207613547,0.0234331563129739
1933.5,0.936864045581281,0.0221837644209965
1934,0.940226730564641,0.0225041575522742
1934.5,0.938765046645057,0.0232163613224515
1935,0.940106103636174,0.0233695665310846
1935.5,0.941922900517462,0.0227080883562208
1936,0.941395891978426,0.0229491981733285
1936.5,0.942437485568517,0.0232125143672125
1937,0.941434466944872,0.021972244370871
1937.5,0.942839113641986,0.0233623763899099
1938,0.944176498525611,0.0233545156607384
1938.5,0.944917425645735,0.0228989561725951
1939,0.944987905649611,0.0230049330942215
1939.5,0.944672611814077,0.0230036853983239
1940,0.943716478533827,0.0241350299889002
1940.5,0.942902359342196,0.0227830502119962
1941,0.942831607313633,0.0227783747373701
1941.5,0.942096900580082,0.0228155157842754
1942,0.941427036062319,0.0220370216052306
1942.5,0.940653388140447,0.0235916105697877
1943,0.939320410811486,0.0233496239303335
1943.5,0.938261420033886,0.0224525231626669
1944,0.93779084334946,0.023102047343889
1944.5,0.934557850081022,0.0219066584054199
1945,0.934348981421476,0.0228862899546205
1945.5,0.930129598235538,0.0241517017634087
1946,0.927915382281859,0.0224719368828422
1946.5,0.927575516197929,0.0225514284668518
1947,0.925797647947425,0.0225511867480489
1947.5,0.923141861317687,0.0231091622933375
1948,0.92198622617902,0.0232595577254991
1948.5,0.919084984543098,0.0221740263322472
1949,0.917956419704635,0.0217741421643493
1949.5,0.917351083087265,0.0234844087949729
1950,0.915022882181753,0.0226387258792103
1950.5,0.914156106919475,0.0221341784455542
1951,0.912714494732884,0.0226367715556411
1951.5,0.913662380545046,0.0232203165458435
1952,0.913624945251236,0.0226977115879395
1952.5,0.914249921169455,0.0230254966199498
1953,0.913383136062118,0.0224981472672354
1953.5,0.914418104397764,0.0227334366216606
1954,0.916193307929804,0.0225569066460357
1954.5,0.919151677626065,0.0232585391658304
1955,0.923020790029252,0.022250085024665
1955.5,0.925736431833487,0.021984045992641
1956,0.928534263951014,0.0228545637425877
1956.5,0.93305746376965,0.0228901744368219
1957,0.936715685072018,0.0221272801835755
1957.5,0.940857079425687,0.0239482654647243
1958,0.947973228349918,0.0226224624235639
1958.5,0.951830908241077,0.0228351932510766
1959,0.9586543640447,0.0227217187052497
1959.5,0.964224703164298,0.0223013803505651
1960,0.97167354124619,0.0230438068009072
1960.5,0.978788332948031,0.0218934125932676
1961,0.987143915005345,0.0225491368287965
1961.5,0.993692775009028,0.0223249192376495
1962,1.00110410640179,0.0227653444524736
1962.5,1.00768838162312,0.022213556241218
1963,1.01703378094713,0.0235975572011638
1963.5,1.02447816731707,0.0225107251323184
1964,1.03267640101,0.0230667411961773
1964.5,1.04013029627893,0.0228172966525505
1965,1.04689277630936,0.023204941977745
1965.5,1.05459345235246,0.0233988009835787
1966,1.06232185460105,0.0232624781201236
1966.5,1.06914230384754,0.0233532808702407
1967,1.07623059197008,0.0233664371078504
1967.5,1.08167591671485,0.023271191345696
1968,1.08862861658831,0.0234602113045554
1968.5,1.09361761925102,0.0230533145888437
1969,1.10040934373849,0.0226894629100337
1969.5,1.10647196900311,0.022873280271867
1970,1.11078083649601,0.0230413911086279
1970.5,1.11516839546699,0.0241783311776837
1971,1.1191607303038,0.0231193738391341
1971.5,1.12403476026935,0.0233257679061511
1972,1.12449300369781,0.023057233476156
1972.5,1.12855381724754,0.0227607828833953
1973,1.12959016755261,0.0230654699726729
1973.5,1.13039888387218,0.0236172753472163
1974,1.13130021847418,0.0221482242811485
1974.5,1.13015328621461,0.0230564931023166
1975,1.13231982971109,0.0229799301707436
1975.5,1.1318320994902,0.0233436938835838
1976,1.13116187705083,0.0233329784057775
1976.5,1.13035097066827,0.0221657104745933
1977,1.12681167853204,0.0232490987009041
1977.5,1.12741343257033,0.024095398109635
1978,1.12504983339089,0.0228005425518714
1978.5,1.12377149652235,0.0241171640195663
1979,1.12240179082596,0.0230664776105327
1979.5,1.12048425917036,0.0217773622456222
1980,1.11570202606604,0.0224226366741643
1980.5,1.11326111771461,0.0235834315127257
1981,1.11191876711803,0.0237328606098125
1981.5,1.1087406633861,0.0228184048294112
1982,1.10588732070963,0.0234302227497002
1982.5,1.10314437395144,0.0222526163572254
1983,1.10103178806301,0.0231462699616563
1983.5,1.09900122033351,0.0240477552938621
1984,1.09540858777348,0.022921362804075
1984.5,1.09309450585292,0.0224649386118597
1985,1.09208269981641,0.0233202009213268
1985.5,1.09044416953769,0.0228103613426637
1986,1.08962356210069,0.0228298207028764
1986.5,1.08784316607049,0.0223701258425455
1987,1.08539928177292,0.0229511786072002
1987.5,1.0854667651844,0.0225763521647012
1988,1.08429399015541,0.0231290093126484
1988.5,1.08225348211136,0.02302846997488
1989,1.08167177270102,0.0219919943940661
1989.5,1.07913735659567,0.022998642755454
1990,1.07829824495316,0.0233511273642029
1990.5,1.07897143093489,0.0220208642928013
1991,1.07875262741293,0.0228620090469263
1991.5,1.07707140607542,0.0234322219293685
1992,1.07722578519209,0.0232450234680529
1992.5,1.07645635198833,0.0233297941280009
1993,1.07555110775534,0.0228171872155557
1993.5,1.0761277365733,0.0229312927464874
1994,1.07538162012609,0.0223914664691509
1994.5,1.07414271590049,0.0231372884575221
1995,1.07331678500327,0.0230968882461615
1995.5,1.07427008972813,0.0242765533106123
1996,1.07193198604245,0.0233396528199382
1996.5,1.07198533691346,0.0238142776591236
1997,1.07126688367823,0.0234904144687351
1997.5,1.06863070422382,0.0236531055170246
1998,1.06869636637044,0.0238254769591993
1998.5,1.06713957410953,0.0222304514728174
1999,1.06633327477377,0.0227249267707131
1999.5,1.06507027598853,0.0229778113904781
2000,1.06256191217174,0.023913219926399
2000.5,1.06145624497984,0.0233194821509359
2001,1.06110804820733,0.0221280356889991
2001.5,1.0589754710075,0.0225224062869118
2002,1.05650398012598,0.0228962057335644
2002.5,1.0559448411922,0.0231021723922007
2003,1.05265392797984,0.0236128855655834
2003.5,1.05216947489248,0.0233241487486729
2004,1.05142541905054,0.023634492765056
2004.5,1.04958631192605,0.0224311788578624
2005,1.04680212853681,0.0227025113989769
2005.5,1.04560304183214,0.0220017033245415
2006,1.04424722845578,0.0225619501914623
2006.5,1.04163234871278,0.022562229001141
2007,1.0390844836595,0.0234296856970266
2007.5,1.03928206437625,0.02240998417958
2008,1.03762195462871,0.022180282750772
2008.5,1.03470353511486,0.0228818355267259
2009,1.03382087997281,0.0226822558442687
2009.5,1.03246474749602,0.0226709175823805
2010,1.03026034628965,0.0238178931476598
2010.5,1.02905720691832,0.0228232280962934
2011,1.02639994522021,0.0225352655777466
2011.5,1.02592399908623,0.0228910094873386
2012,1.02292519372415,0.0232428686136434
2012.5,1.02364485877734,0.0227800964591937
2013,1.02006586622993,0.0236762991992329
2013.5,1.01872654017963,0.0228184677431018
2014,1.01837147498447,0.0224692814208234
2014.5,1.01616533033579,0.022503113851837
2015,1.01526879732795,0.0227214309156425
2015.5,1.01346596689041,0.021945760764446
2016,1.01244219794664,0.023059751186053
2016.5,1.00920428751705,0.0218558042107961
2017,1.00940324662607,0.0226779983169386
2017.5,1.00694507025449,0.0220522838738084
2018,1.00661165215342,0.0231839449958724
2018.5,1.00460202279947,0.0226847226551744
2019,1.00325275048847,0.0223445589934383
2019.5,1.00192348649914,0.0224639879346559
2020,0.999623995392964,0.0230082509397926
2020.5,0.99871600491128,0.0236233015300013
2021,0.997476086310809,0.0232284186623125
2021.5,0.996262250654667,0.0227916042565135
2022,0.994100603577348,0.0234283161934576
