year,estimate,esterror,q2_5,q97_5
1827,0.924800424338373,0.0251375520250379,0.875844288927296,0.974081265061755
1827.5,0.924283293079335,0.0246797842287719,0.875277174637751,0.971941826385058
1828,0.924409824095023,0.0246485764815569,0.877092035337352,0.974241766430066
1828.5,0.92398409429363,0.0247101722279019,0.876270577845313,0.972743893603601
1829,0.923694674473577,0.0240525066630393,0.876192064758428,0.970790752880031
1829.5,0.923285667556977,0.0244441540167688,0.877271773103167,0.97283941382502
1830,0.922911764742085,0.0245433301078641,0.87554528637501,0.970724543358708
1830.5,0.923243387673168,0.0244950466739098,0.874972080437065,0.971029384035168
1831,0.922749144936816,0.0243550131796723,0.875658912315824,0.970449586433422
1831.5,0.922835937845569,0.0243273804075158,0.875996920953883,0.970887656431512
1832,0.9230410504716,0.0243294230767086,0.876123265296788,0.97015485686487
1832.5,0.922265950003623,0.0241171312020667,0.874538497609909,0.9698782559043
1833,0.922194696287312,0.0245202283921636,0.873328288231601,0.97000253873182
1833.5,0.922081829903891,0.0237100222019232,0.876140125825453,0.969105274536918
1834,0.922316179689115,0.0236962787183329,0.876508683806678,0.968742304382963
1834.5,0.922631959349883,0.0233495835412984,0.876264814208208,0.967933231825342
1835,0.922016875548627,0.0240038584661525,0.874143398933938,0.967914661256794
1835.5,0.922223977622642,0.0237281290018065,0.874189676685107,0.967681273341322
1836,0.92258554494953,0.0232397445455619,0.87760033696944,0.967942939873279
1836.5,0.922689718285587,0.0236829285331478,0.875861077804809,0.970368200104429
1837,0.923902552873427,0.0236790341490345,0.877990276271621,0.970720850999261
1837.5,0.923242614181224,0.0233684801752123,0.877437655438608,0.970365365561237
1838,0.923785853071766,0.0234950874576708,0.87707840998549,0.969729256283835
1838.5,0.925252610521004,0.0235245053382754,0.87883594425764,0.971030836287868
1839,0.924987167005933,0.0234792304198443,0.88007948939247,0.970097541256039
1839.5,0.925148539247422,0.0234942910504479,0.878141664339279,0.971460638326351
1840,0.925996354971506,0.0240067650027103,0.878203821518071,0.974144555559895
1840.5,0.926322685026418,0.0236322646209777,0.880098508965244,0.970512198075772
1841,0.926594511351531,0.023903914092352,0.879338023513696,0.974094962222571
1841.5,0.927529374294883,0.0235079401853037,0.881769454473964,0.974054681752837
1842,0.928441519845868,0.0231708655665072,0.883238282082737,0.973709495431661
1842.5,0.929291036637596,0.0235652468383718,0.882874233754817,0.975869721529333
1843,0.929892519972688,0.0235597024015866,0.884778205395745,0.975844603810174
1843.5,0.930446031298172,0.0239915238479042,0.883587927777002,0.977288422035547
1844,0.931399436728772,0.0233856017825734,0.885724583665444,0.976886059679975
1844.5,0.931902227640658,0.0235959371621237,0.886009118227187,0.978472334265089
1845,0.932708698523965,0.0236489749240705,0.88770643482754,0.979749058820367
1845.5,0.933157699088834,0.0242068391669088,0.885404601650747,0.980871002094025
1846,0.933988669608806,0.0238400018516681,0.888402704076159,0.980106700948939
1846.5,0.934619284098778,0.0241160785586704,0.88706849623043,0.982040912673641
1847,0.934601467033939,0.0240096527829305,0.88842394078171,0.982082755729262
1847.5,0.935119764028056,0.0242368123970816,0.887853774929712,0.983259382462657
1848,0.936543476844347,0.0240413764939154,0.888897699684606,0.983545862482379
1848.5,0.936561738534576,0.0243669065251304,0.891154194143785,0.984169879945008
1849,0.937310839322434,0.0242458550857582,0.889850314104249,0.984674086899079
1849.5,0.936421844017092,0.0245173710830386,0.888090567834889,0.984961010714046
1850,0.937613816462013,0.0242827002197746,0.889584494647632,0.985392660834061
1850.5,0.936966820773004,0.024514251031047,0.887097366303626,0.984152480967459
1851,0.937752360295982,0.0243208347096389,0.890951090661591,0.98583157677542
1851.5,0.937078215324917,0.0245227825835847,0.890130002152768,0.984716954805238
1852,0.937689573093378,0.0249840282368527,0.889298261168897,0.986719555198929
1852.5,0.937102951339771,0.0245267848431313,0.888979502962375,0.986280714150203
1853,0.936622791789516,0.0251871069877885,0.886551230266816,0.986192483916149
1853.5,0.936601515270668,0.0251099726209123,0.88621555343178,0.984916339192319
1854,0.936286956325979,0.024789654210413,0.887075700445821,0.984565102110971
1854.5,0.935759261819765,0.025250615486569,0.885901760062915,0.986235752573237
1855,0.935093059211171,0.0247525618075691,0.887118866411784,0.984424938862391
1855.5,0.934149503790653,0.0254079276783378,0.884717666967097,0.984679372985713
1856,0.934720696597738,0.0250828700984237,0.885537246732701,0.984255238768001
1856.5,0.933721916706374,0.0252638997933632,0.884581983352994,0.983164557668978
1857,0.933300251861858,0.0251710065278613,0.88428618022695,0.982352993441893
1857.5,0.932821908135724,0.02512721018295,0.883758362006982,0.98176947827465
1858,0.931175004577439,0.0253054444316276,0.881366608374947,0.980155745048592
1858.5,0.930679693882836,0.0252746242565154,0.879251029837633,0.978539780672639
1859,0.929824434465469,0.0253016609384669,0.881311571253265,0.980055718446016
1859.5,0.929221049725064,0.0253854021450664,0.878697096665875,0.979798093410956
1860,0.927851601462045,0.0252291966179691,0.879166195954054,0.977475258386977
1860.5,0.92719211198505,0.0251852303310569,0.877897577269295,0.97660679069047
1861,0.926156000270553,0.0251690974242809,0.8774389940584,0.974415033114256
1861.5,0.925953962370544,0.0251406072540468,0.877339986703041,0.976266304729511
1862,0.924037359705932,0.0249098491547118,0.87536954233831,0.973655140292546
1862.5,0.923563731415075,0.0251426635597502,0.875180378702434,0.974001503490345
1863,0.922499459039362,0.0249217699669347,0.873414409931564,0.971504747361477
1863.5,0.92200986949139,0.0255226712423008,0.873269978676442,0.973554816715349
1864,0.921105384101112,0.0253612786736244,0.871424310656191,0.969701192260114
1864.5,0.919378855800414,0.0253292822782328,0.868404015778336,0.96849011888407
1865,0.919811766360067,0.0248879536822091,0.871309253269316,0.967457697016257
1865.5,0.91760134329191,0.0248895863746982,0.869323083547023,0.967047541094698
1866,0.917110574511167,0.0250834171767836,0.868779533447592,0.96683385563374
1866.5,0.916372726980301,0.0249438779377241,0.867214966608701,0.964124661703444
1867,0.915958844271104,0.0245472009229292,0.868724518785502,0.964203388130801
1867.5,0.91585396877386,0.0250628749540339,0.866743451012739,0.965713265607368
1868,0.914987129194569,0.0248465926760744,0.86567112468155,0.964239897786456
1868.5,0.914496611808281,0.0245543093676135,0.865975756135555,0.961702332982271
1869,0.914547845914822,0.0242921095545542,0.867737713044488,0.961792451938087
1869.5,0.91472313903293,0.0246751167038255,0.868349083321011,0.963957223867084
1870,0.914142373185426,0.0243645068678677,0.866788586331861,0.959867399516137
1870.5,0.914104371239752,0.024445481690641,0.867235169848993,0.962428685617374
1871,0.91394979449759,0.0247610827195441,0.865793382166291,0.962055613297507
